definition,uni_lemma,gloss,category,item,type,choices,complexity_category,itemID
Nine,,grandma,people,Nine,word,produces,,item_359
Oğlan,,boy,people,Oglan,word,produces,,item_360
Öğretmen,,teacher,people,Ogretmen,word,produces,,item_361
Palyaço,,clown,people,Palyaco,word,produces,,item_362
Polis,,policeman,people,Polis,word,produces,,item_363
Prenses,,princess,people,Prenses,word,produces,,item_364
Tamirci,,repairman/serviceman,people,Tamirci,word,produces,,item_365
Teyze,,aunt (maternal),people,Teyze,word,produces,,item_366
NA,,NA,unknown,NA,word,produces,,item_367
Aferin,,well done/bravo,games_routines,Aferin,word,produces,,item_368
Alkış,,hand clap,games_routines,Alkis,word,produces,,item_369
Alo,,hello (on the phone),games_routines,Alo,word,produces,,item_370
Ayıp,,shameful,games_routines,Ayip,word,produces,,item_371
Banyo (routine),,bathroom,games_routines,Banyo,word,produces,,item_372
Bay-bay,,bye,games_routines,Bay-bay,word,produces,,item_373
Çiş,,pee,games_routines,Cis,word,produces,,item_374
Dikkat,,watch out/attention,games_routines,Dikkat,word,produces,,item_375
Doğumgünü,,birthday,games_routines,Dogumgunu,word,produces,,item_376
Efendim,,I beg your pardon,games_routines,Efendim,word,produces,,item_377
Evcilik,,playing house,games_routines,Evcilik,word,produces,,item_378
Evet,,yes,games_routines,Evet,word,produces,,item_379
Güle-güle,,goodbye,games_routines,Gule-gule,word,produces,,item_380
Günaydın,,good morning,games_routines,Gunaydin,word,produces,,item_381
Hadi,,come on,games_routines,Hadi,word,produces,,item_382
Hayır,,no/don´t,games_routines,Hayir,word,produces,,item_383
Hoşgeldiniz,,welcome,games_routines,Hosgeldiniz,word,produces,,item_384
İyi geceler,,good night,games_routines,Iyi_geceler,word,produces,,item_385
Kahvaltı,,breakfast,games_routines,Kahvalti,word,produces,,item_386
Kaka,,poo-poo/go potty,games_routines,Kaka,word,produces,,item_387
Kucak,,)take in) lap/arms,games_routines,Kucak,word,produces,,item_388
Lütfen,,please,games_routines,Lutfen,word,produces,,item_389
Mama,,food (child word),games_routines,Mama,word,produces,,item_390
Merhaba,,hi,games_routines,Merhaba,word,produces,,item_391
Müzik,,music,games_routines,Muzik,word,produces,,item_392
Ninni,,lullaby,games_routines,Ninni,word,produces,,item_393
Saklambaç,,hide-and-seek,games_routines,Saklambac,word,produces,,item_394
Sürpriz,,surprise,games_routines,Surpriz,word,produces,,item_395
Şaka,,joke,games_routines,Saka,word,produces,,item_396
