itemID,item,type,category,choices,uni_lemma,definition,gloss,complexity_category
item_531,a15_36,word,action_words,produces,,,pick,
item_532,a15_37,word,action_words,produces,,,touch,
item_533,a15_38,word,action_words,produces,,,climb,
item_534,a15_39,word,action_words,produces,,,say,
item_535,a15_40,word,action_words,produces,,,write,
item_536,a15_41,word,action_words,produces,,,hold,
item_537,a15_42,word,action_words,produces,,,feed,
item_538,a15_43,word,action_words,produces,,,listen,
item_539,a15_44,word,action_words,produces,,,knock,
item_540,a15_45,word,action_words,produces,,,shake,
item_541,a15_46,word,action_words,produces,,,put,
item_542,a15_47,word,action_words,produces,,,pull,
item_543,a15_48,word,action_words,produces,,,kick,
item_544,a15_49,word,action_words,produces,,,hit,
item_545,a15_50,word,action_words,produces,,,catch,
item_546,a15_51,word,action_words,produces,,,to shout,
item_547,a15_52,word,action_words,produces,,,stop,
item_548,a15_53,word,action_words,produces,,,to put in order,
item_549,a15_54,word,action_words,produces,,,press,
item_550,a15_55,word,action_words,produces,,,tickle,
item_551,a15_56,word,action_words,produces,,,push,
item_552,a15_57,word,action_words,produces,,,throw,
item_553,a15_58,word,action_words,produces,,,draw,
item_554,a15_59,word,action_words,produces,,,take off,
item_555,a15_60,word,action_words,produces,,,hand,
item_556,a15_61,word,action_words,produces,,,work,
item_557,a15_62,word,action_words,produces,,,sweep,
item_558,a15_63,word,action_words,produces,,,stand,
item_559,a15_64,word,action_words,produces,,,help,
item_560,a15_65,word,action_words,produces,,,cook,
item_561,a15_66,word,action_words,produces,,,cut,
item_562,a15_67,word,action_words,produces,,,bring,
item_563,a15_68,word,action_words,produces,,,break,
item_564,a15_69,word,action_words,produces,,,to scold,
item_565,a15_70,word,action_words,produces,,,love,
