itemID,definition,gloss,category,item,type,choices,complexity_category,uni_lemma
item_278,Kindergarten,kindergarden,places,Kindergarten,word,produces,,kindergarten
item_279,Kino,cinema,places,Kino,word,produces,,
item_280,nach draußen,outside,places,nach_draussen,word,produces,,out
item_281,Park,park,places,Park,word,produces,,park
item_282,Zoo,zoo,places,Zoo,word,produces,,zoo
item_283,Tankstelle,petrol station,places,Tankstelle,word,produces,,
item_284,Spielplatz,playground,places,Spielplatz,word,produces,,playground
item_285,Schule,school,places,Schule,word,produces,,school
item_286,Supermarkt,supermarket,places,Supermarkt,word,produces,,
item_287,Wald,forest,places,Wald,word,produces,,
item_288,Arbeit,work,places,Arbeit,word,produces,,work (place)
item_289,Stadt,town,places,Stadt,word,produces,,
item_290,Bauernhof,farm,places,Bauernhof,word,produces,,
item_291,Tante,aunt,people,Tante,word,produces,,aunt
item_292,eigener Name,own name,people,eigener_Name,word,produces,,child's own name
item_293,Freund,friend,people,Freund,word,produces,,friend
item_294,Junge,boy,people,Junge,word,produces,,boy
item_295,Bruder,brother,people,Bruder,word,produces,,brother
item_296,Polizei,police,people,Polizei,word,produces,,
item_297,Briefträger,postman,people,Brieftrager,word,produces,,
item_298,Onkel,uncle,people,Onkel,word,produces,,uncle
item_299,Arzt,doctor,people,Arzt,word,produces,,
item_300,Feuerwehrmann,fireworker,people,Feuerwehrmann,word,produces,,
item_301,Krankenschwester,nurse,people,Krankenschwester,word,produces,,
item_302,Oma,grandma,people,Oma,word,produces,,grandma
item_303,Name von Haustier,name of pet,people,Name_von_Haustier,word,produces,,pet's name
item_304,Kind,child,people,Kind,word,produces,,child
item_305,Schwester,sister,people,Schwester,word,produces,,sister
item_306,Papa,daddy,people,Papa,word,produces,,daddy
item_307,Baby,baby,people,Baby,word,produces,,baby
item_308,Mensch,human,people,Mensch,word,produces,,man
item_309,Mädchen,girl,people,Madchen,word,produces,,girl
item_310,Opa,grandpa,people,Opa,word,produces,,grandpa
item_311,Frau,woman,people,Frau,word,produces,,lady
item_312,Clown,clown,people,Clown,word,produces,,clown
item_313,Mann,man,people,Mann,word,produces,,man
item_314,Mama,mommy,people,Mama,word,produces,,mommy
item_315,baden,bathe,games_routines,baden,word,produces,,bathe
item_316,Frühstück,breakfast,games_routines,Fruhstuck,word,produces,,breakfast
item_317,schlafen gehen,go to bed,games_routines,schlafen_gehen,word,produces,,go to bed
item_318,nein,no,games_routines,nein,word,produces,,no
item_319,ja,yes,games_routines,ja,word,produces,,yes
item_320,tag,good day,games_routines,tag,word,produces,,
item_321,hallo,hallo,games_routines,hallo,word,produces,,hello
item_322,Mittagessen,lunch,games_routines,Mittagessen,word,produces,,lunch
item_323,danke,thank you,games_routines,danke,word,produces,,thank you
item_324,psst leise,shh quiet,games_routines,psst_leise,word,produces,,
item_325,einkaufen,shop,games_routines,einkaufen,word,produces,,
item_326,tschüss,bye,games_routines,tschuss,word,produces,,bye
item_327,telefonieren,call on phone,games_routines,telefonieren,word,produces,,call on phone
item_328,warten,wait,games_routines,warten,word,produces,,
item_329,guck guck,peekaboo,games_routines,guck_guck,word,produces,,
item_330,bitte,please,games_routines,bitte,word,produces,,please
item_331,beißen,bite,action_words,beissen,word,produces,,bite
item_332,schwimmen,swim,action_words,schwimmen,word,produces,,swim
item_333,reiten,ride,action_words,reiten,word,produces,,ride
item_334,springen,jump,action_words,springen,word,produces,,jump
item_335,wegwerfen,throw away,action_words,wegwerfen,word,produces,,trash
