itemID,item,type,category,choices,definition,gloss,uni_lemma,complexity_category,
item_319,folha,word,outside,produces,Folha,,,,Folha
item_320,fumo,word,outside,produces,Fumo,,,,Fumo
item_321,jardim_el,word,outside,produces,Jardim,,,,Jardim_el
item_322,lua,word,outside,produces,Lua,,,,Lua
item_323,neve,word,outside,produces,Neve,,,,Neve
item_324,nuvem,word,outside,produces,Nuvem(s),,,,Nuvem
item_325,pedra,word,outside,produces,Pedra,,,,Pedra
item_326,relva,word,outside,produces,Relva,,,,Relva
item_327,sol,word,outside,produces,Sol,,,,Sol
item_328,terra,word,outside,produces,Terra,,,,Terra
item_329,vento,word,outside,produces,Vento,,,,Vento
item_330,cafe_lu,word,places,produces,Café,,,,Café_lu
item_331,casa,word,places,produces,Casa,,,,Casa
item_332,casa_avo,word,places,produces,Casa de avó / do avô / dos avós,,,,Casa_avó
item_333,circo,word,places,produces,Circo,,,,Circo
item_334,escola,word,places,produces,Escola / Colégio,,,,Escola
item_335,farmacia,word,places,produces,Farmácia,,,,Farmácia
item_336,festa,word,places,produces,Festa,,,,Festa
item_337,escolinha,word,places,produces,Jardim / Escolinha,,,,Escolinha
item_338,loja,word,places,produces,Loja,,,,Loja
item_339,mar,word,places,produces,Mar,,,,Mar
item_340,medico,word,places,produces,Médico / Doutor,,,,Médico
item_341,musica,word,places,produces,(Aula de) Música,,,,Música
item_342,parque,word,places,produces,Parque,,,,Parque
item_343,piscina,word,places,produces,Piscina,,,,Piscina
item_344,praia,word,places,produces,Praia,,,,Praia
item_345,rio,word,places,produces,Rio,,,,Rio
item_346,rua,word,places,produces,Rua,,,,Rua
item_347,shopping,word,places,produces,Shopping / Centro comercial,,,,Shopping
item_348,amiga,word,people,produces,Amiga,,,,Amiga
item_349,amigo,word,people,produces,Amigo,,,,Amigo
item_350,avo_1,word,people,produces,Avó,,,,Avó
item_351,avo_2,word,people,produces,Avô,,,,Avô
item_352,bebe,word,people,produces,Bebé,,,,Bebé
item_353,bruxa,word,people,produces,Bruxa,,,,Bruxa
item_354,nome_educador,word,people,produces,Nome do(a) Educador(a),,,,Nome_educador
item_355,homem,word,people,produces,Homem,,,,Homem
item_356,irma,word,people,produces,Irmã,,,,Irmã
item_357,irmao,word,people,produces,Irmão,,,,Irmão
item_358,madrinha,word,people,produces,Madrinha,,,,Madrinha
item_359,mae,word,people,produces,Mãe,,,,Mãe
item_360,menina,word,people,produces,Menina,,,,Menina
item_361,menino,word,people,produces,Menino,,,,Menino
item_362,mulher,word,people,produces,Mulher,,,,Mulher
item_363,nome_boneco,word,people,produces,Nome do boneco,,,,Nome_boneco
item_364,nome_proprio_pessoa,word,people,produces,Nome própio de pessoa,,,,Nome_próprio_pessoa
item_365,padrinho,word,people,produces,Padrinho,,,,Padrinho
item_366,palhaco,word,people,produces,Palhaço,,,,Palhaço
item_367,pai,word,people,produces,Pai,,,,Pai
item_368,policia,word,people,produces,Polícia,,,,Polícia
item_369,prima,word,people,produces,Prima,,,,Prima
item_370,primo,word,people,produces,Primo,,,,Primo
item_371,senhor,word,people,produces,Senhor,,,,Senhor
item_372,senhora,word,people,produces,Senhora,,,,Senhora
item_373,tia,word,people,produces,Tia,,,,Tia
item_374,tio,word,people,produces,Tio,,,,Tio
item_375,adeus,word,games_routines,produces,Adeus / Xau!,,,,Adeus
item_376,anda,word,games_routines,produces,Anda!,,,,Anda
item_377,anda_ca,word,games_routines,produces,Anda cá!,,,,Anda_cá
item_378,assim,word,games_routines,produces,Assim.,,,,Assim
item_379,ate_amanha,word,games_routines,produces,Até amanhã!,,,,Até_amanhã
item_380,ate_logo,word,games_routines,produces,Até logo!,,,,Até_logo
item_381,beijinho,word,games_routines,produces,Beijinho!,,,,Beijinho
item_382,bem,word,games_routines,produces,Bem!,,,,Bem
item_383,bom_dia,word,games_routines,produces,Bom dia!,,,,Bom_dia
item_384,coco,word,games_routines,produces,Cocó!,,,,Cocó
item_385,colo,word,games_routines,produces,Colo!,,,,Colo
item_386,doi,word,games_routines,produces,Dói / Dói-dói.,,,,Dói
item_387,dorme_bem,word,games_routines,produces,Dorme bem!,,,,Dorme_bem
item_388,espera,word,games_routines,produces,Espera!,,,,Espera
